source,grp_vernarculaire,nom_vern,nom_latin,nom_valide,cd_tax_ref,cd_nom,degradation_geo,degradation_duree,degradation_perimetre,degradation_autre,niveau_sensibilite,id_degradation_geo,sensitivity_duration,tdate_min,tdate_max
LR_20151110,Insectes,Scarabée sacré,Scarabaeus sacer,"Scarabaeus sacer Linnaeus, 1758",43573,10804,Commune,Permanente,LR,,1,COM,1000,,
LR_20151110,Mammifères,"Barbastelle d'Europe, Barbastelle",Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",42413,60345,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Loup,Canis lupus,"Canis lupus Linnaeus, 1758",42414,60577,Maille 10x10 km,1 an,LR,,2,M10,1,,
LR_20151110,Mammifères,Sérotine de Nilsson,Eptesicus nilssonii,"Eptesicus nilssonii (Keyserling & Blasius, 1839)",42425,79302,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Sérotine commune,Eptesicus serotinus,"Eptesicus serotinus (Schreber, 1774)",42426,60360,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Vespère de Savi,Hypsugo savii,"Hypsugo savii (Bonaparte, 1837)",42432,60506,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Lynx boréal,Lynx lynx,"Lynx lynx (Linnaeus, 1758)",42436,60612,Maille 10x10 km,1 an,LR,,2,M10,1,,
LR_20151110,Mammifères,Minioptère de Schreibers,Miniopterus schreibersii,"Miniopterus schreibersii (Kuhl, 1817)",42447,79305,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Murin d'Alcathoe,Myotis alcathoe,"Myotis alcathoe Helversen & Heller, 2001",42456,79299,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Murin de Bechstein,Myotis bechsteinii,"Myotis bechsteinii (Kuhl, 1817)",42457,79301,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Petit Murin,Myotis blythii,"Myotis blythii (Tomes, 1857)",42458,60427,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Murin de Brandt,Myotis brandtii,"Myotis brandtii (Eversmann, 1845)",44558,79300,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,"Murin de Capaccini, Vespertilion de Capaccini",Myotis capaccinii,"Myotis capaccinii (Bonaparte, 1837)",42459,60439,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Murin de Daubenton,Myotis daubentonii,"Myotis daubentonii (Kuhl, 1817)",42460,200118,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,"Murin à oreilles échancrées, Vespertilion à oreilles échancrées",Myotis emarginatus,"Myotis emarginatus (E. Geoffroy, 1806)",42461,60400,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Escalera's bat,Myotis escalerai,"Myotis escalerai Cabrera, 1904",42462,60411,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Grand Murin,Myotis myotis,"Myotis myotis (Borkhausen, 1797)",42463,60418,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,"Murin à moustaches, Vespertilion à moustaches",Myotis mystacinus,"Myotis mystacinus (Kuhl, 1817)",42464,60383,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,"Murin de Natterer, Vespertilion de Natterer",Myotis nattereri,"Myotis nattereri (Kuhl, 1817)",42465,60408,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Grande Noctule,Nyctalus lasiopterus,"Nyctalus lasiopterus (Schreber, 1780)",42468,60457,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Noctule de Leisler,Nyctalus leisleri,"Nyctalus leisleri (Kuhl, 1817)",42469,60461,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Noctule commune,Nyctalus noctula,"Nyctalus noctula (Schreber, 1774)",42470,60468,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Pipistrelle de Kuhl,Pipistrellus kuhlii,"Pipistrellus kuhlii (Kuhl, 1817)",42475,79303,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Pipistrelle de Nathusius,Pipistrellus nathusii,"Pipistrellus nathusii (Keyserling & Blasius, 1839)",43935,60490,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
LR_20151110,Mammifères,Pipistrelle commune,Pipistrellus pipistrellus,"Pipistrellus pipistrellus (Schreber, 1774)",42476,60479,Commune,Permanente,LR,Uniquement l'emplacement des gîtes.,1,COM,1000,,
